,,Salary,Salary,Salary,Salary,Salary,Salary,,
Sindarius Thornwell,23,"$815,615 ","$1,378,242 ","$1,618,520 ",,,,MLE,"$2,193,857 "
Tyrone Wallace,23,TBD,,,,,,Two-Way Contract,TBD
C.J. Williams,28,TBD,,,,,,Two-Way Contract,"$50,000 "
Paul Pierce,40,"$1,096,080 ",,,,,,,"$1,096,080 "
Carlos Delfino,35,"$650,000 ","$650,000 ",,,,,,"$1,300,000 "
Jordan Farmar,31,"$510,921 ",,,,,,,"$510,921 "
Miroslav Raduljica,30,"$300,000 ","$300,000 ",,,,,,"$600,000 "
Sean Kilpatrick,28,"$172,238 ",,,,,,,
Jamil Wilson,27,"$50,000 ",,,,,,,"$50,000 "
Brook Lopez,29,"$22,642,350 ",,,,,,Bird Rights,"$22,642,350 "
Kentavious Caldwell-Pope,25,"$17,745,894 ",,,,,,Cap space,"$17,745,894 "
Luol Deng,32,"$17,190,000 ","$18,000,000 ","$18,810,000 ",,,,Cap Space,"$54,000,000 "
Channing Frye,34,"$7,420,912 ",,,,,,Cap Space,"$7,420,912 "
Lonzo Ball,20,"$6,286,560 ","$7,461,960 ","$8,719,320 ","$11,003,782 ",,,1st Round Pick,"$13,748,520 "
Isaiah Thomas,29,"$6,261,395 ",,,,,,,"$6,261,395 "
Brandon Ingram,20,"$5,519,400 ","$5,757,120 ","$7,265,485 ",,,,1st Round pick,"$11,276,520 "
Julius Randle,23,"$4,149,242 ",,,,,,1st Round Pick,"$4,149,242 "
Tyler Ennis,23,"$1,524,305 ","$1,656,092 ",,,,,Minimum Salary,"$1,524,305 "
Kyle Kuzma,22,"$1,423,560 ","$1,689,840 ","$1,974,600 ","$3,562,178 ",,,1st Round Pick,"$3,113,400 "
